initials;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
abu;;x;;;;;;;;;;;;x;x;x;x;x
baa;x;;;;;;;;;;x;x;x;;;;;
bae;;;x;;x;;;;;;;;;;;;;
bak;;;;;;;;;;;;;;;;;;
ben;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
bes;;;;;;;;;;;;;;;;;;
bim;x;;;;;;;;;;;;;;;;;
bov;;;;;;;;;;;;;;;;;;
bra;;;;;;;;;;;;;;;;;;
brr;;;;;;;;;;;;;;;;;;
cad;;;;;;;;;;;;;;;;;;
dcv;;;;;;;;;;;;;;;;;;
det;;;;;;;;;;;;;;;;;;
dil;;;;;;;;;;;;;;;;;;
ehv;;;;;;;;;;;;;;;;;;
ert;;;;;;;;;;;;;;;;;;
feb;;;;;;;;;;;;;;;;;;
fre;;;;;;;;;;;;;;;;;;
fus;;;;;;;;;;;;;;;;;;
gad;;;;;;;;;;;;;;;;;;
gaf;;;;;;;;;;;;;;;;;;
gai;;;;;;;;;;;;;;;;;;
gra;;;;;;;;;;;;;;;;;;
grn;;;;;;;;;;;;;;;;;;
gta;;;;;;;;;;;;;;;;;;
gua;;;;;;;;;;;;;;;;;;
gut;;;;;;;;;;;;;;;;;;
gyt;;;;;;;;;;;;;;;;;;
heb;;;;;;;;;;;;;;;;;;
hem;;;;;;;;;;;;;;;;;;
her;;;;;;;;;;;;;;;;;;
hey;;;;;;;;;;;;;;;;;;
his;;;;;;;;;;;;;;;;;;
hos;;;;;;;;;;;;;;;;;;
hus;;;;;;;;;;;;;;;;;;
jep;;;;;;;;;;;;;;;;;;
jer;;;;;;;;;;;;;;;;;;
jew;;;;;;;;;;;;;;;;;;
joa;;;;;;;;;;;;;;;;;;
kib;;;;;;;;;;;;;;;;;;
kln;;;;;;;;;;;;;;;;;;
kng;;;;;;;;;;;;;;;;;;
kuo;;;;;;;;;;;;;;;;;;
kupro1;;;;;;;;;;;;;;;;;;
kupro2;;;;;;;;;;;;;;;;;;
kupro3;;;;;;;;;;;;;;;;;;
kupro4;;;;;;;;;;;;;;;;;;
kupro5;;;;;;;;;;;;;;;;;;
kupro6;;;;;;;;;;;;;;;;;;
kupro7;;;;;;;;;;;;;;;;;;
kupro8;;;;;;;;;;;;;;;;;;
kür;;;;;;;;;;;;;;;;;;
lee;;;;;;;;;;;;;;;;;;
lem;;;;;;;;;;;;;;;;;;
ler;;;;;;;;;;;;;;;;;;
löf;;;;;;;;;;;;;;;;;;
lum;;;;;;;;;;;;;;;;;;
mar;;;;;;;;;;;;;;;;;;
med;;;;;;;;;;;;;;;;;;
mef;;;;;;;;;;;;;;;;;;
moa;;;;;;;;;;;;;;;;;;
müo;;;;;;;;;;;;;;;;;;
mus;;;;;;;;;;;;;;;;;;
nin;;;;;;;;;;;;;;;;;;
oem;;;;;;;;;;;;;;;;;;
orm;;;;;;;;;;;;;;;;;;
pes;;;;;;;;;;;;;;;;;;
pfl;;;;;;;;;;;;;;;;;;
pib;;;;;;;;;;;;;;;;;;
ple;;;;;;;;;;;;;;;;;;
pli;;;;;;;;;;;;;;;;;;
pum;;;;;;;;;;;;;;;;;;
rec;;;;;;;;;;;;;;;;;;
ref;;;;;;;;;;;;;;;;;;
ren;;;;;;;;;;;;;;;;;;
rod;;;;;;;;;;;;;;;;;;
rok;;;;;;;;;;;;;;;;;;
ros;;;;;;;;;;;;;;;;;;
rus;;;;;;;;;;;;;;;;;;
rut;;;;;;;;;;;;;;;;;;
sca;;;;;;;;;;;;;;;;;;
scd;;;;;;;;;;;;;;;;;;
scf;;;;;;;;;;;;;;;;;;
scj;;;;;;;;;;;;;;;;;;
scm;;;;;;;;;;;;;;;;;;
scp;;;;;;;;;;;;;;;;;;
scs;;;;;;;;;;;;;;;;;;
sct;;;;;;;;;;;;;;;;;;
str;;;;;;;;;;;;;;;;;;
stt;;;;;;;;;;;;;;;;;;
tem;;;;;;;;;;;;;;;;;;
thb;;;;;;;;;;;;;;;;;;
thc;;;;;;;;;;;;;;;;;;
trd;;;;;;;;;;;;;;;;;;
vau;;;;;;;;;;;;;;;;;;
was;;;;;;;;;;;;;;;;;;
wea;;;;;;;;;;;;;;;;;;
wei;;;;;;;;;;;;;;;;;;
wem;;;;;;;;;;;;;;;;;;
wic;;;;;;;;;;;;;;;;;;
wij;;;;;;;;;;;;;;;;;;
wis;;;;;;;;;;;;;;;;;;
wys;;;;;;;;;;;;;;;;;;
zad;;;;;;;;;;;;;;;;;;
caa;;;;;;;;;;;;;;;;;;
tos;;;;;;;;;;;;;;;;;;
haa;;;;;;;;;;;;;;;;;;
fcl;;;;;;;;;;;;;;;;;;
